# E MATRIX
1.30, 	0.30, 	0.30, 	0.10, 	0.10, 	0.00, 	0.00
0.10, 	6.90, 	2.70, 	0.70, 	0.40, 	0.10, 	0.00
0.20, 	3.80, 	15.30, 	3.70, 	0.80, 	0.20, 	0.00
0.00, 	2.20, 	4.70, 	8.50, 	1.60, 	0.30, 	0.10
0.00, 	0.80, 	0.80, 	2.20, 	3.90, 	0.50, 	0.20
0.00, 	0.00, 	0.10, 	0.50, 	0.60, 	1.00, 	0.10
0.00, 	0.00, 	0.00, 	0.10, 	0.00, 	0.20, 	0.00
